"year_loc","Clock.Today","Stage","AboveGround.Wt","yield","CN2Bare","DiffusConst","DiffusSlope","Drainage","Eo","Eos","Es","ESW(1)","ESW(2)","ESW(3)","ESW(4)","ESW(5)","ESW(6)","ESW(7)","ESW(8)","ESW(9)","ESW(10)","Evaporation","Flow(1)","Flow(2)","Flow(3)","Flow(4)","Flow(5)","Flow(6)","Flow(7)","Flow(8)","Flow(9)","Flow(10)","FlowNH4(1)","FlowNH4(2)","FlowNH4(3)","FlowNH4(4)","FlowNH4(5)","FlowNH4(6)","FlowNH4(7)","FlowNH4(8)","FlowNH4(9)","FlowNH4(10)","FlowNO3(1)","FlowNO3(2)","FlowNO3(3)","FlowNO3(4)","FlowNO3(5)","FlowNO3(6)","FlowNO3(7)","FlowNO3(8)","FlowNO3(9)","FlowNO3(10)","FlowUrea(1)","FlowUrea(2)","FlowUrea(3)","FlowUrea(4)","FlowUrea(5)","FlowUrea(6)","FlowUrea(7)","FlowUrea(8)","FlowUrea(9)","FlowUrea(10)","Flux(1)","Flux(2)","Flux(3)","Flux(4)","Flux(5)","Flux(6)","Flux(7)","Flux(8)","Flux(9)","Flux(10)","Infiltration","LeachNH4","LeachNO3","LeachUrea","PAW(1)","PAW(2)","PAW(3)","PAW(4)","PAW(5)","PAW(6)","PAW(7)","PAW(8)","PAW(9)","PAW(10)","PAWmm(1)","PAWmm(2)","PAWmm(3)","PAWmm(4)","PAWmm(5)","PAWmm(6)","PAWmm(7)","PAWmm(8)","PAWmm(9)","PAWmm(10)","Pond","PotInf","PotRunoff","PrecInterc","Runoff","Runon","Salb","SolFlowEff(1)","SolFlowEff(2)","SolFlowEff(3)","SolFlowEff(4)","SolFlowEff(5)","SolFlowEff(6)","SolFlowEff(7)","SolFlowEff(8)","SolFlowEff(9)","SolFlowEff(10)","SolFluxEff(1)","SolFluxEff(2)","SolFluxEff(3)","SolFluxEff(4)","SolFluxEff(5)","SolFluxEff(6)","SolFluxEff(7)","SolFluxEff(8)","SolFluxEff(9)","SolFluxEff(10)","SummerCona","SummerU","SW(1)","SW(2)","SW(3)","SW(4)","SW(5)","SW(6)","SW(7)","SW(8)","SW(9)","SW(10)","SWCON(1)","SWCON(2)","SWCON(3)","SWCON(4)","SWCON(5)","SWCON(6)","SWCON(7)","SWCON(8)","SWCON(9)","SWCON(10)","SWmm(1)","SWmm(2)","SWmm(3)","SWmm(4)","SWmm(5)","SWmm(6)","SWmm(7)","SWmm(8)","SWmm(9)","SWmm(10)","T","Thickness(1)","Thickness(2)","Thickness(3)","Thickness(4)","Thickness(5)","Thickness(6)","Thickness(7)","Thickness(8)","Thickness(9)","Thickness(10)","Water(1)","Water(2)","Water(3)","Water(4)","Water(5)","Water(6)","Water(7)","Water(8)","Water(9)","Water(10)","WaterTable","WinterCona","WinterDate","WinterU","CoverGreen","CoverTotal","LAI","Date"
"IAH2",2014-04-18,"Germination",0,0,73,40,16,0,4.73942562829426,2.50359487709444,2.50359487709444,27.3746475662747,33.504189169143,33.2478361229826,28.319807331403,7.00672732369212,5.16730383074687,4.18430113053211,17.6158105912016,20.3698429711503,22.8174159285203,2.50359487709444,0.0622724182164872,0,0,-0.106622593215003,-0.00430554082932135,-0.00259361034892081,-0.00426477882678783,0.00896487696015446,0.00937559889291337,0,0,0,0,0,0,0,0,0,0,0,1.00370033263584,0.208864756952498,0.235114478324876,0.0332264881981824,0.000404511656497983,0.000215014096217881,0.000330696669339095,-0.000533958162238078,-0.000482128422668754,0,0,0,0,0,0,0,0,0,0,0,0.419621649827788,2.02697517648783,2.25705879233469,0.180186075367482,0,0,0,0,0,0,0,0,0,0,0.136873237831374,0.167520945845715,0.166239180614913,0.141599036657015,0.0350336366184606,0.0258365191537343,0.0209215056526606,0.0880790529560078,0.101849214855752,0.114087079642602,27.3746475662747,33.504189169143,33.2478361229826,28.3198073314031,7.00672732369212,5.16730383074687,4.18430113053211,17.6158105912016,20.3698429711503,22.8174159285203,0,0,0,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.312740627831374,0.343388335845715,0.347551780614913,0.322651716657015,0.197960658618461,0.188763541153734,0.183848527652661,0.179017012956008,0.192787174855752,0.205025039642602,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,62.5481255662747,68.677667169143,69.5103561229826,64.530343331403,39.5921317236921,37.7527082307469,36.7697055305321,35.8034025912016,38.5574349711503,41.0050079285203,1.02406242285157,200,200,200,200,200,200,200,200,200,200,62.5481255662747,68.677667169143,69.5103561229826,64.530343331403,39.5921317236921,37.7527082307469,36.7697055305321,35.8034025912016,38.5574349711503,41.0050079285203,0,5,"1-Aug",5,0,0,0,2014-04-18
"IAH2",2014-04-19,"",0,0,73,40,16,0,4.70272285091272,2.48728335155477,2.48728335155477,25.2677159177518,32.0436365608821,32.6480355970019,29.5083892346732,7.81234580814436,5.17050400403043,4.18267086595041,17.6289530428841,20.3702485601571,22.8080990154639,2.48728335155477,0.0603517101843701,0,0,-0.117275618777171,-0.00580103633482705,-0.0026008630512608,-0.00423112763297081,0.00891132404960166,0.00931691305637915,0,0,0,0,0,0,0,0,0,0,0,-0.0062089723043292,0.144052398351184,0.207908189924049,0.0937297785087704,0.000547738371722777,0.000215673382629898,0.000328158815569356,-0.00053108509870588,-0.000479528715960589,0,0,0,0,0,0,0,0,0,0,0,0,1.40020089807654,2.00000142405725,0.694143902009907,0,0,0,0,0,0,0.319999992847443,0,0,0,0.126338579588759,0.16021818280441,0.16324017798501,0.147541946173366,0.0390617290407218,0.0258525200201522,0.020913354329752,0.0881447652144207,0.101851242800786,0.11404049507732,25.2677159177518,32.0436365608821,32.6480355970019,29.5083892346732,7.81234580814437,5.17050400403043,4.18267086595041,17.6289530428841,20.3702485601571,22.8080990154639,0,0.319999992847443,0.319999992847443,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.302205969588759,0.33608557280441,0.34455277798501,0.328594626173366,0.201988751040722,0.188779542020152,0.183840376329752,0.179082725214421,0.192789202800786,0.20497845507732,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,60.4411939177518,67.2171145608821,68.9105555970019,65.7189252346732,40.3977502081444,37.7559084040304,36.7680752659504,35.8165450428841,38.5578405601571,40.9956910154639,1.1865664707245,200,200,200,200,200,200,200,200,200,200,60.4411939177518,67.2171145608821,68.9105555970019,65.7189252346732,40.3977502081444,37.7559084040304,36.7680752659504,35.8165450428841,38.5578405601571,40.9956910154639,0,5,"1-Aug",5,0,0,0,2014-04-19
"IAH2",2014-04-20,"",0,0,73,40,16,0,4.5966929907859,2.44039958344192,2.44039958344192,26.2773637297028,31.0415541357215,31.9214591810806,30.1164226313971,8.88498655415191,5.17583001316888,4.18108449406331,17.6420088460153,20.3706491565492,22.7988403674775,2.44039958344192,0.040047309562292,0,0,-0.123276629565971,-0.00793738878808073,-0.00261137964962558,-0.00419775153672214,0.00885805159439807,0.00925864798648739,0,0,0,0,0,0,0,0,0,0,0,-0.00412189975342414,0.0990181949576872,0.175304758410806,0.124503186323734,0.000754024963402076,0.000216643782302625,0.000325690492544752,-0.000528434093057149,-0.00047718802411889,0,0,0,0,0,0,0,0,0,0,0,0,0.96203511559827,1.68861153151955,0.957301505229648,0,0,0,0,0,0,3.41000008583069,0,0,0,0.131386818648514,0.155207770678608,0.159607295905403,0.150582113156986,0.0444249327707595,0.0258791500658444,0.0209054224703166,0.0882100442300763,0.101853245782746,0.113994201837387,26.2773637297028,31.0415541357215,31.9214591810806,30.1164226313971,8.88498655415191,5.17583001316889,4.18108449406331,17.6420088460153,20.3706491565492,22.7988403674775,0,3.41000008583069,3.41000008583069,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.307254208648514,0.331075160678608,0.340919895905403,0.331634793156986,0.20735195477076,0.188806172065844,0.183832444470317,0.179148004230076,0.192791205782746,0.204932161837387,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,61.4508417297028,66.2150321357215,68.1839791810806,66.3269586313971,41.4703909541519,37.7612344131689,36.7664888940633,35.8296008460153,38.5582411565492,40.9864323674775,1.1865664707245,200,200,200,200,200,200,200,200,200,200,61.4508417297028,66.2150321357215,68.1839791810806,66.3269586313971,41.4703909541519,37.7612344131689,36.7664888940633,35.8296008460153,38.5582411565492,40.9864323674775,0,5,"1-Aug",5,0,0,0,2014-04-20
"IAH2",2014-04-21,"",0,0,73,40,16,0,3.25112077383708,1.73891167185681,1.73891167185681,26.0326094890708,30.3459863545937,31.202418380652,30.3241679255487,10.0472422604549,5.18365445899364,4.17954557723335,17.654978564094,20.3710448971467,22.7896395678306,1.73891167185681,0.0341573930777679,0,0,-0.12544247299258,-0.0104501880241875,-0.00262574219943197,-0.00416465902939949,0.00880505904936286,0.00920079964684794,0,0,0,0,0,0,0,0,0,0,0,-0.00352675680233914,0.0682907381099791,0.143296280482448,0.134851863543536,0.000998884569804037,0.00021798918164624,0.000323311581667866,-0.000526079617785836,-0.000475185723865045,0,0,0,0,0,0,0,0,0,0,0,0,0.661410388050101,1.38045118847872,1.04726342133458,0,0,0,0,0,0,1.46000003814697,0,0,0,0.130163047445354,0.151729931772968,0.15601209190326,0.151620839627744,0.0502362113022744,0.0259182722949682,0.0208977278861668,0.0882748928204701,0.101855224485733,0.113948197839153,26.0326094890708,30.3459863545937,31.202418380652,30.3241679255487,10.0472422604549,5.18365445899364,4.17954557723335,17.654978564094,20.3710448971467,22.7896395678306,0,1.46000003814697,1.46000003814697,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.306030437445354,0.327597321772968,0.33732469190326,0.332673519627744,0.213163233302274,0.188845294294968,0.183824749886167,0.17921285282047,0.192793184485733,0.204886157839153,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,61.2060874890708,65.5194643545937,67.464938380652,66.5347039255487,42.6326466604549,37.7690588589936,36.7649499772333,35.842570564094,38.5586368971467,40.9772315678306,1.1865664707245,200,200,200,200,200,200,200,200,200,200,61.2060874890708,65.5194643545937,67.464938380652,66.5347039255487,42.6326466604549,37.7690588589936,36.7649499772333,35.842570564094,38.5586368971467,40.9772315678306,0,5,"1-Aug",5,0,0,0,2014-04-21
"IAH2",2014-04-22,"",0,0,73,40,16,0,5.38027754252785,2.8928574634735,2.63772888137335,23.4429047807584,29.845222127821,30.5530205863151,30.2754256715537,11.1849999839656,5.19413264177923,4.17805791380129,17.6678627690735,20.3714359154024,22.7804962037749,2.63772888137335,0.0480241730609435,0,0,-0.124787094592586,-0.0131223785329327,-0.0026441957473426,-0.00413185917940347,0.00875234580003468,0.00914336405571534,0,0,0,0,0,0,0,0,0,0,0,-0.00498432714624541,0.0469889307004698,0.114522673591917,0.132158534505274,0.00126151783001198,0.000219711593214669,0.000320993545583677,-0.00052389769708594,-0.000473374680196216,0,0,0,0,0,0,0,0,0,0,0,0,0.452740053711742,1.10213784804862,1.02609300745102,0,0,0,0,0,0,0,0,0,0,0.117214523903792,0.149226110639105,0.152765102931576,0.151377128357769,0.0559249999198278,0.0259706632088961,0.0208902895690065,0.0883393138453673,0.101857179577012,0.113902481018874,23.4429047807584,29.845222127821,30.5530205863151,30.2754256715537,11.1849999839656,5.19413264177923,4.17805791380129,17.6678627690735,20.3714359154024,22.7804962037749,0,0,0,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.293081913903792,0.325093500639105,0.334077702931576,0.332429808357769,0.218852021919828,0.188897685208896,0.183817311569006,0.179277273845367,0.192795139577012,0.204840441018874,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,58.6163827807584,65.018700127821,66.8155405863151,66.4859616715537,43.7704043839656,37.7795370417792,36.7634623138013,35.8554547690735,38.5590279154024,40.9680882037749,2.1865664707245,200,200,200,200,200,200,200,200,200,200,58.6163827807584,65.018700127821,66.8155405863151,66.4859616715537,43.7704043839656,37.7795370417792,36.7634623138013,35.8554547690735,38.5590279154024,40.9680882037749,0,5,"1-Aug",5,0,0,0,2014-04-22
"IAH2",2014-04-23,"",0,0,73,40,16,0,0.935244832716033,0.503721876310682,0.503721876310682,29.6043673495894,29.9240822572447,30.1076929171881,30.1098612121504,12.2460318166102,5.20728162928048,4.17662532468396,17.6806620413201,20.3718223415238,22.7714098664901,0.503721876310682,0,0,0,-0.122633675461355,-0.015815759467226,-0.00266677196597209,-0.00409936108330008,0.0086999111633719,0.00908633728480521,0,0,0,0,0,0,0,0,0,0,0,1.29375940201205,0.0574927580985244,0.0950146924235053,0.1235580523154,0.00152806570352783,0.000221810771552264,0.000318729929281381,-0.000521857252419705,-0.000471716372266915,0,0,0,0,0,0,0,0,0,0,0,0.544815593005241,0.465955463581511,0.911283132708488,0.954213916650484,0,0,0,0,0,0,7.21000003814697,0,0,0,0.148021836747947,0.149620411286224,0.150538464585941,0.150549306060752,0.0612301590830508,0.0260364081464024,0.0208831266234198,0.0884033102066006,0.101859111707619,0.11385704933245,29.6043673495894,29.9240822572447,30.1076929171881,30.1098612121504,12.2460318166102,5.20728162928048,4.17662532468396,17.6806620413201,20.3718223415238,22.7714098664901,0,7.21000003814697,7.21000003814697,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.323889226747947,0.325487801286224,0.331851064585941,0.331601986060752,0.224157181083051,0.188963430146402,0.18381014862342,0.179341270206601,0.192797071707619,0.20479500933245,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,64.7778453495894,65.0975602572447,66.3702129171881,66.3203972121504,44.8314362166102,37.7926860292805,36.762029724684,35.8682540413201,38.5594143415238,40.9590018664901,1.07475583460946,200,200,200,200,200,200,200,200,200,200,64.7778453495894,65.0975602572447,66.3702129171881,66.3203972121504,44.8314362166102,37.7926860292805,36.762029724684,35.8682540413201,38.5594143415238,40.9590018664901,0,5,"1-Aug",5,0,0,0,2014-04-23
"IAH2",2014-04-24,"",0,0,73,40,16,0,1.08987649868623,0.588641290401081,0.588641290401081,31.6834716135178,30.628491451247,30.0072863069999,29.9660393941699,13.2395802732633,5.22311322199307,4.17525164778893,17.6933769695605,20.3722043025934,22.762380151032,0.588641290401081,0,0,0,-0.120438388803054,-0.0185250896694356,-0.00269349695684168,-0.00406717385188269,0.00864775438850399,0.0090297154581319,0,0,0,0,0,0,0,0,0,0,0,3.31145581386285,0.131331747517387,0.0913966030493556,0.116058887363941,0.00179825408233299,0.000224248770398426,0.000316466897032458,-0.00051973944503227,-0.00046996621868809,0,0,0,0,0,0,0,0,0,0,0,1.47225431215614,0.7678451181539,0.868251728342111,0.891635157519565,0,0,0,0,0,0,4.1399998664856,0,0,0,0.158417358067589,0.153142457256235,0.150036431535,0.149830196970849,0.0661979013663167,0.0261155661099654,0.0208762582389446,0.0884668848478025,0.101861021512967,0.11381190075516,31.6834716135178,30.628491451247,30.0072863069999,29.9660393941699,13.2395802732633,5.22311322199308,4.17525164778892,17.6933769695605,20.3722043025934,22.762380151032,0,4.1399998664856,4.1399998664856,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.334284748067589,0.329009847256235,0.331349031535,0.330882876970849,0.229124923366317,0.189042588109965,0.183803280238945,0.179404844847803,0.192798981512967,0.20474986075516,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,66.8569496135178,65.801969451247,66.2698063069999,66.1765753941699,45.8249846732633,37.8085176219931,36.7606560477889,35.8809689695605,38.5597963025934,40.949972151032,0.0957585077954587,200,200,200,200,200,200,200,200,200,200,66.8569496135178,65.801969451247,66.2698063069999,66.1765753941699,45.8249846732633,37.8085176219931,36.7606560477889,35.8809689695605,38.5597963025934,40.949972151032,0,5,"1-Aug",5,0,0,0,2014-04-24
"IAH2",2014-04-25,"",0,0,73,40,16,0,5.71077554252294,3.10094471511837,3.10094471511837,27.7508932831508,30.6664377943712,29.9550911876476,29.8518271093396,14.1784134184852,5.24165033610828,4.17394075809676,17.7060081508799,20.3725819226871,22.7534066562811,3.10094471511837,0.0223520161403491,0,0,-0.118316865241214,-0.0212615310852233,-0.00272441697002023,-0.00403530666218257,0.0085958746572553,0.00897349475086532,0,0,0,0,0,0,0,0,0,0,0,1.92901291656082,0.157328943102936,0.0901375090907324,0.110045810169155,0.00207261818638804,0.000227017067173359,0.000314189714850865,-0.000517480345091169,-0.000468054272357358,0,0,0,0,0,0,0,0,0,0,0,0.853985631388977,0.793687272124424,0.845882391476805,0.841777811065823,0,0,0,0,0,0,0,0,0,0,0.138754466415754,0.153332188971856,0.149775455938238,0.149259135546698,0.0708920670924258,0.0262082516805414,0.0208697037904838,0.0885300407543997,0.101862909613435,0.113767033281405,27.7508932831508,30.6664377943712,29.9550911876476,29.8518271093396,14.1784134184852,5.24165033610828,4.17394075809676,17.7060081508799,20.3725819226871,22.7534066562811,0,0,0,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.314621856415754,0.329199578971856,0.331088055938238,0.330311815546698,0.233819089092426,0.189135273680541,0.183796725790484,0.1794680007544,0.192800869613435,0.204704993281405,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,62.9243712831508,65.8399157943712,66.2176111876475,66.0623631093396,46.7638178184852,37.8270547361083,36.7593451580968,35.8936001508799,38.5601739226871,40.9409986562811,0.0957585077954587,200,200,200,200,200,200,200,200,200,200,62.9243712831508,65.8399157943712,66.2176111876475,66.0623631093396,46.7638178184852,37.8270547361083,36.7593451580968,35.8936001508799,38.5601739226871,40.9409986562811,0,5,"1-Aug",5,0,0,0,2014-04-25
"IAH2",2014-04-26,"",0,0,73,40,16,0,4.45980259768475,2.43794429028976,2.43794429028976,25.498554179273,30.0819571282747,29.7471863535653,29.7120936244036,15.0509608551288,5.26285721523584,4.17269647845997,17.7185561904945,20.3729553229896,22.7444889848929,2.43794429028976,0.0356051804514793,0,0,-0.115730300571432,-0.0239663680196822,-0.00275948889212378,-0.00400376852891895,0.00854427108563235,0.0089176713882124,0,0,0,0,0,0,0,0,0,0,0,-0.00706905844315254,0.108973830123559,0.0813627282687422,0.102734794725992,0.00234523527040172,0.000230134673330563,0.000311928043622418,-0.000515196309858964,-0.000466110873204271,0,0,0,0,0,0,0,0,0,0,0,0,0.548875485644992,0.756780319727262,0.780783504091893,0,0,0,0,0,0,0.150000005960464,0,0,0,0.127492770896365,0.150409785641373,0.148735931767826,0.148560468122018,0.075254804275644,0.0263142860761792,0.0208634823922998,0.0885927809524725,0.101864776614948,0.113722444924464,25.498554179273,30.0819571282747,29.7471863535653,29.7120936244036,15.0509608551288,5.26285721523584,4.17269647845997,17.7185561904945,20.3729553229896,22.7444889848929,0,0.150000005960464,0.150000005960464,0,0,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.303360160896365,0.326277175641373,0.330048531767826,0.329613148122018,0.238181826275644,0.189241308076179,0.1837905043923,0.179530740952472,0.192802736614948,0.204660404924464,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,60.672032179273,65.2554351282747,66.0097063535653,65.9226296244036,47.6363652551288,37.8482616152358,36.75810087846,35.9061481904945,38.5605473229896,40.9320809848929,0.25497932369187,200,200,200,200,200,200,200,200,200,200,60.672032179273,65.2554351282747,66.0097063535653,65.9226296244036,47.6363652551288,37.8482616152358,36.75810087846,35.9061481904945,38.5605473229896,40.9320809848929,0,5,"1-Aug",5,0,0,0,2014-04-26
"IAH2",2014-04-27,"Emergence",0.0383140144833112,0,73,40,16,0,1.50056418262168,0.825045786759353,0.825045786759353,46.1092939534881,34.0508200720586,30.7816302987074,29.9237610432748,16.0122651551397,5.28719947401967,4.17152336953531,17.7310217035438,20.3733246219172,22.7356267432486,0.825045786759353,0,0,0,-0.116582625787622,-0.0271417201917569,-0.00279946140793454,-0.0039725703325953,0.00849294271668169,0.00886224164427688,0,0,0,0,0,0,0,0,0,0,0,10.4818715721343,0.733774513461718,0.137954597914594,0.113339354387553,0.0026668826433442,0.000233672073426578,0.00030968705991031,-0.000512904812212857,-0.000464155820210654,0,0,0,0,0,0,0,0,0,0,0,6.203420328,2.23455738421605,1.2001134390739,0.87186339441507,0,0,0,0,0,0,27.6392058889745,0,0,0,0.230546469767441,0.170254100360293,0.153908151493537,0.149618805216374,0.0800613257756987,0.0264359973700983,0.0208576168476765,0.0886551085177188,0.101866623109586,0.113678133716243,46.1092939534881,34.0508200720586,30.7816302987074,29.9237610432748,16.0122651551397,5.28719947401967,4.17152336953531,17.7310217035438,20.3733246219172,22.7356267432486,0,28.1200008392334,28.1200008392334,0,0.480794950258862,0,0.12,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,0.406413859767441,0.346121490360293,0.335220751493537,0.330671485216374,0.242988347775699,0.189363019370098,0.183784638847677,0.179593068517719,0.192804583109586,0.204616093716243,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0,81.2827719534881,69.2242980720586,67.0441502987074,66.1342970432748,48.5976695551397,37.8726038740197,36.7569277695353,35.9186137035438,38.5609166219172,40.9232187432486,0,200,200,200,200,200,200,200,200,200,200,81.2827719534881,69.2242980720586,67.0441502987074,66.1342970432748,48.5976695551397,37.8726038740197,36.7569277695353,35.9186137035438,38.5609166219172,40.9232187432486,0,5,"1-Aug",5,0.000421365359987602,0.000421365359987602,0.00105363539829106,2014-04-27
