date,location,rainfall,temp_mean,temp_min,temp_max
2018-05-04,GAH2,0,20.1241666666667,10.5,29.56
2018-05-04,IAH2,0.25,16.715625,10.22,23.22
2018-05-04,IAH3,0,16.8825,12.78,23.89
2018-05-04,TXH1,0,21.1125925925926,18.89,23.89
2018-05-05,ARH1,0,20.7581818181818,16.72,26.11
2018-05-05,ARH2,0,20.66625,19.5,22.22
2018-05-05,GAH2,0,21.1539583333333,14.83,27.72
2018-05-05,IAH2,0,18.765625,12.28,27.39
2018-05-05,IAH3,0,17.8,10,25.61
2018-05-05,TXH1,0,22.0482608695652,17.22,27.22
2018-05-06,ARH1,0,-2.926,-10.28,16.11
2018-05-06,ARH2,1.78,20.8852083333333,18.33,23.83
2018-05-06,GAH2,0,21.1377083333333,14.94,27.67
2018-05-06,IAH2,0,18.7983333333333,11.61,25.33
2018-05-06,IAH3,605,20.0083333333333,13.89,26.11
2018-05-06,TXH1,0,22.36375,14.39,28.89
2018-05-07,ARH1,0,-4.26854166666667,-13.22,4.06
2018-05-07,ARH2,0,21.9804166666667,19.39,25.06
2018-05-07,GAH2,0,19.6541666666667,10.06,29.67
2018-05-07,IAH2,0,19.6620833333333,10.72,26.56
2018-05-07,IAH3,820,22.6705555555556,15,28.17
2018-05-07,INH1,0,21.165,20.61,21.72
2018-05-07,TXH1,0,24.0554166666667,16.72,31.11
2018-05-08,ARH1,0,-3.16354166666667,-10.28,4.72
2018-05-08,ARH2,0,22.7616666666667,20.06,25.89
2018-05-08,GAH2,0,20.4202083333333,13.94,28.11
2018-05-08,IAH1,5.59,26.1104545454545,21.94,28.33
2018-05-08,IAH2,0,21.4327083333333,14.5,28.94
2018-05-08,IAH3,906,21.1402083333333,13,28.39
2018-05-08,ILH1,16.51,19.5721739130435,10,28.28
2018-05-08,INH1,0.76,21.44625,20.22,22.5
2018-05-08,NCH1,11.18,20.1208333333333,19.28,20.67
2018-05-08,NEH2,0,23.0807246376812,15.11,30.28
2018-05-08,TXH1,0,24.6569565217391,17.22,31.11
2018-05-08,TXH2,0,27.2173913043478,20.61,34.39
2018-05-08,WIH1,24.38,20.9385714285714,11.72,26.72
2018-05-09,ARH1,0,-1.938125,-8.17,3.72
2018-05-09,ARH2,0,22.663125,21.72,23.89
2018-05-09,GAH2,0,21.0914583333333,11.39,30.94
2018-05-09,IAH1,0,21.1254166666667,15.22,26.89
2018-05-09,IAH2,0,18.9864583333333,14.06,24.61
2018-05-09,IAH3,880,20.7058333333333,14.83,26.22
2018-05-09,ILH1,0,21.2595238095238,12.78,29.39
2018-05-09,INH1,0,21.5726086956522,20.61,24.67
2018-05-09,NCH1,2.03,21.6352083333333,17.22,27.28
2018-05-09,NEH2,0,22.5783606557377,15.72,29.72
2018-05-09,TXH1,0,24.5609523809524,16.72,30.61
2018-05-09,TXH2,0,26.7095238095238,17.78,35.61
2018-05-09,WIH1,1.52,16.762380952381,13.28,21.11
2018-05-10,ARH1,0,-2.110625,-9.28,4.22
2018-05-10,ARH2,0,22.776875,21.22,24.61
2018-05-10,GAH2,0,22.45125,12.67,32.89
2018-05-10,IAH1,12.95,20.198125,11.61,27.94
2018-05-10,IAH2,1.27,15.6120833333333,11.33,22
2018-05-10,IAH3,724,18.40125,11.39,24.78
2018-05-10,ILH1,0,20.9513043478261,13.89,27.22
2018-05-10,INH1,0,24.1270588235294,17.83,27.61
2018-05-10,NCH1,0.25,22.1889583333333,15.67,31.28
2018-05-10,NEH2,3.05,20.3492857142857,12.11,27.39
2018-05-10,TXH1,0,24.275652173913,16.72,31.11
2018-05-10,TXH2,0,27.9969565217391,18.89,37.22
2018-05-10,WIH1,0.51,16.4548484848485,9.11,20.44
2018-05-11,ARH1,0,-2.13541666666667,-8.72,4
2018-05-11,ARH2,0,23.6672916666667,21.72,26.11
2018-05-11,GAH2,0,23.4827083333333,13.33,33.72
2018-05-11,IAH1,14.73,16.5797916666667,12.11,20.22
2018-05-11,IAH2,0,12.1625,9.11,16
2018-05-11,IAH3,560,12.7716666666667,8.44,17.22
2018-05-11,ILH1,0,22.8308333333333,15,30.61
2018-05-11,INH1,0.25,19.8441666666667,14.44,28
2018-05-11,NCH1,0,24.5,15.89,33.33
2018-05-11,NEH2,0,15.5013432835821,9.11,21
2018-05-11,TXH1,0,25.87,21.11,31.11
2018-05-11,TXH2,0,28.4533333333333,20,38.28
2018-05-11,WIH1,0.51,4.39895833333333,1.61,8.06
2018-05-12,ARH1,0,-1.82708333333333,-7,4.28
2018-05-12,ARH2,0,24.6620833333333,22.78,27.11
2018-05-12,GAH2,0,25.01,15.94,34.72
2018-05-12,IAH1,2.54,11.0208333333333,8.61,13.72
2018-05-12,IAH2,3.05,9.863125,7.61,13.22
2018-05-12,IAH3,170,10.3264583333333,7.33,14.72
2018-05-12,ILH1,0,20.4329166666667,15.61,25
2018-05-12,INH1,0,17.1577083333333,12.56,23.17
2018-05-12,NCH1,0,27.0775,19.78,35.06
2018-05-12,NEH2,0,12.515,10.61,14.61
2018-05-12,TXH1,0,26.9933333333333,22.78,32.22
2018-05-12,TXH2,0,28.8468,20,37.22
2018-05-12,WIH1,0.76,8.2775,4.72,12.22
2018-05-13,ARH1,0,-1.29020833333333,-9.11,5.89
2018-05-13,ARH2,0,25.5014583333333,23.06,28.22
2018-05-13,GAH2,10.16,25.1347916666667,15.89,35.83
2018-05-13,IAH1,11.18,13.778125,10.61,19.44
2018-05-13,IAH2,1.78,12.4164583333333,10.17,16.22
2018-05-13,IAH3,839,12.440625,10.11,15.78
2018-05-13,ILH1,0,22.4770833333333,15,30.61
2018-05-13,INH1,0,21.0775,12.72,30.17
2018-05-13,NCH1,0.25,27.575,19.67,35.5
2018-05-13,NEH2,0.76,16.0244444444444,11.89,23.61
2018-05-13,TXH1,0,27.1208333333333,22.78,32.78
2018-05-13,TXH2,0,27.9420833333333,21.72,35
2018-05-13,WIH1,0.51,10.3993617021277,7.11,13.61
2018-05-14,ARH1,0,-0.263541666666667,-6.94,6.72
2018-05-14,ARH2,1.02,26.7154166666667,24.17,29.67
2018-05-14,GAH2,1.52,24.536875,16.61,33.39
2018-05-14,IAH1,8.64,19.881875,13.89,26.22
2018-05-14,IAH2,0,17.8389583333333,14.28,23.83
2018-05-14,IAH3,960,18.8216666666667,13.5,26.94
2018-05-14,ILH1,0.76,25.6670833333333,18.28,33.89
2018-05-14,INH1,6.35,24.56625,17.67,32.94
2018-05-14,NCH1,1.78,26.6904166666667,20.72,33.83
2018-05-14,NEH2,0,18.7161111111111,15,24.28
2018-05-14,TXH1,0,26.9633333333333,23.28,31.72
2018-05-14,TXH2,17.53,26.1158333333333,19.39,33.89
2018-05-14,WIH1,0.25,16.4177083333333,12.72,21.22
2018-05-15,ARH1,0,-0.244166666666667,-7.44,6.44
2018-05-15,ARH2,14.73,26.9222916666667,24.83,29.17
2018-05-15,GAH2,2.54,22.0716666666667,19.67,25.28
2018-05-15,IAH1,0,19.8614583333333,17.11,23.78
2018-05-15,IAH2,0,18.7239583333333,12.89,26.17
2018-05-15,IAH3,1027,20.253125,14.44,26.39
2018-05-15,IAH4,0,17.54875,14.39,27.22
2018-05-15,ILH1,0,20.73375,15.61,25.61
