"year","location","lat","lon","cluster","date_sowing","date_silking","date_harvesting","yield","gdd_silk","plant_density","sim_yield","sim_silk"
2017,"COH1",40.649,-105,"b",2017-05-31,2017-08-09,2017-11-21,6609.39031112299,778,11.4816,4889.14571230088,2017-08-10
2017,"DEH1",38.671,-75.433,"c",2017-04-28,2017-07-04,2017-09-07,10932.8916465849,789,10.4708171206226,4727.03050237892,2017-07-09
2017,"GAH1",31.507,-83.558,"c",2017-04-04,2017-06-04,2017-09-06,7965.82233880903,789,9.22628571428571,9953.81666203482,2017-06-18
2017,"GAH2",33.727,-83.299,"c",2017-05-02,2017-06-26,2017-09-08,8223.97579274611,789,5.382,9128.11013722183,2017-06-19
2017,"IAH4",41.994,-93.688,"b",2017-05-07,2017-07-16,2017-10-16,11636.9500005411,778,10.2104228571429,7832.98121951178,2017-07-12
2017,"ILH1",40.061,-88.234,"b",2017-04-26,2017-07-12,2017-10-12,11049.2869190231,778,10.5976416714367,10192.3937441445,2017-07-08
2017,"INH1",40.479,-88.99,"b",2017-05-16,2017-07-16,2017-10-19,12102.2588754144,778,9.84137142857143,10037.3333239415,2017-07-22
2017,"MIH1",42.682,-84.494,"a",2017-05-22,2017-07-23,2017-10-20,10087.8375174359,722,9.568,7661.15883907542,2017-07-31
2017,"MNH1",43.075,-89.384,"a",2017-05-10,2017-07-23,2017-10-27,9145.90423259912,722,7.82836363636364,8965.54277392947,2017-07-29
2017,"NYH1",42.729,-76.652,"a",2017-05-20,2017-07-31,2017-11-22,8106.92693310023,722,9.568,10414.0806072456,2017-08-01
2017,"NYH2",42.733,-76.652,"a",2017-05-18,2017-07-27,2017-11-24,10766.2693639225,722,9.84137142857143,10377.6532589146,2017-08-01
2017,"NYH3",42.733,-76.652,"a",2017-05-18,2017-08-03,2017-11-24,9653.42090783898,722,9.84137142857143,10377.6532589146,2017-08-01
2017,"WIH1",43.057,-89.531,"a",2017-05-05,2017-07-19,2017-10-19,12008.5659542733,722,7.82836363636364,8800.59298170487,2017-07-27
2017,"WIH2",43.324,-89.336,"a",2017-05-11,2017-07-25,2017-11-06,11585.3536962842,722,7.82836363636364,8943.5340697983,2017-07-31
2018,"DEH1",38.649,-75.45,"c",2018-05-02,2018-07-09,2018-09-20,7517.68012763874,789,11.8669260700389,5127.76980711933,2018-07-17
2018,"IAH2",42.066,-94.727,"b",2018-04-29,2018-07-10,2018-10-23,12060.8868255696,778,10.8255085714286,15072.9939724819,2018-07-11
2018,"IAH4",41.998,-93.696,"b",2018-05-15,2018-07-15,2018-10-26,11553.2558677195,778,10.8255085714286,14715.3489057233,2018-07-09
2018,"ILH1",40.063,-88.23,"b",2018-05-08,2018-07-07,2018-09-24,11933.252693159,778,10.5976416714367,13164.4462616623,2018-07-08
2018,"INH1",40.479,-86.99,"b",2018-05-07,2018-07-10,2018-09-19,11658.7235367677,778,9.84137142857143,12841.7080406768,2018-07-10
2018,"MIH1",42.688,-84.497,"a",2018-05-28,2018-07-28,2018-11-18,10333.5549987879,722,9.78545454545454,7841.89538219809,2018-07-31
2018,"MNH1",43.075,-89.384,"a",2018-05-24,2018-07-25,2018-11-10,8348.77112812674,722,7.82836363636364,8954.75758093338,2018-07-29
2018,"MOH1",38.897,-92.209,"c",2018-05-17,2018-07-10,2018-09-24,8316.72902490066,789,8.86447058823529,10126.3198272078,2018-07-19
2018,"NCH1",35.667,-78.492,"c",2018-05-08,2018-06-30,2018-09-18,11663.1887634047,789,8.97,10126.3198272078,2018-07-19
2018,"NYH1",42.729,-76.651,"a",2018-05-25,2018-07-26,2018-11-12,8487.7903338809,722,9.568,10735.7576041791,2018-08-06
2018,"NYH3",42.725,-76.655,"a",2018-05-18,2018-07-30,2018-12-11,9556.04147591425,722,9.84137142857143,9486.66131274064,2018-07-23
2018,"OHH1",39.857,-83.67,"b",2018-05-15,2018-07-10,2018-10-09,11394.3129514,778,10.5248,11339.9622192043,2018-07-14
2018,"SCH1",34.622,-82.737,"c",2018-04-20,2018-06-20,2018-09-14,6838.35423992016,789,7.93136842105263,7809.08194402975,2018-06-27
2018,"WIH1",43.056,-89.531,"a",2018-05-08,2018-07-13,2018-10-19,11879.0228134347,722,7.82836363636364,6712.64363199933,2018-07-21
2018,"WIH2",43.326,-89.34,"a",2018-05-19,2018-07-24,2018-10-19,8622.26080204866,722,7.82836363636364,9804.82639235731,2018-07-22
2019,"DEH1",38.671,-75.433,"c",2019-05-09,2019-07-06,2019-09-12,9681.86171393898,789,10.5044776119403,5512.72544958013,2019-07-11
2019,"GAH2",33.721,-83.308,"c",2019-04-12,2019-06-15,2019-09-05,12589.1717547668,789,7.75008,11779.705932204,2019-06-24
2019,"IAH4",41.998,-93.696,"b",2019-06-03,2019-08-03,2019-10-17,10217.6053074298,778,11.232,9380.14024564801,2019-07-30
2019,"ILH1",40.058,-88.23,"b",2019-05-21,2019-07-23,2019-10-17,11239.6345984887,778,10.5794742857143,9410.47653544355,2019-07-21
2019,"INH1",40.477,-87,"b",2019-06-05,2019-08-07,2019-10-11,12229.957587656,778,11.4816,10274.5757650456,2019-07-27
2019,"MIH1",42.708,-84.47,"a",2019-05-27,2019-08-02,2019-11-17,9337.8932776607,722,8.6112,7970.38885685847,2019-08-04
2019,"MNH1",44.067,-93.524,"a",2019-06-03,2019-08-08,2019-11-16,7849.0427197382,722,7.82836363636364,10311.3773512918,2019-08-06
2019,"MOH1",38.895,-92.209,"c",2019-05-16,2019-07-18,2019-10-07,6531.28562344423,789,7.5348,10481.3283728446,2019-07-14
2019,"NEH1",41.159,-96.415,"b",2019-05-16,2019-07-23,2019-11-13,8974.61139810533,778,7.69937777777778,10253.6446273557,2019-07-28
2019,"NEH2",40.86,-96.616,"b",2019-05-28,2019-07-29,2019-11-13,9609.24825494925,778,8.14572972972973,9594.47465607084,2019-07-29
2019,"NYH1",42.729,-76.652,"a",2019-06-03,2019-08-07,2019-12-12,9114.68324162223,722,8.37846486486487,10431.7902289696,2019-08-05
2019,"NYH2",42.732,-76.652,"a",2019-05-23,2019-08-01,2019-12-11,10648.3373331187,722,9.84137142857143,11029.4075347908,2019-08-01
2019,"NYH3",42.733,-76.654,"a",2019-05-23,2019-08-07,2019-12-11,10342.0138630051,722,9.84137142857143,11029.4010133561,2019-08-01
2019,"OHH1",39.857,-83.67,"b",2019-06-07,2019-08-02,2019-10-15,10719.9352669462,778,8.6112,11467.6225771855,2019-07-29
2019,"SCH1",34.623,-82.738,"c",2019-05-02,2019-06-27,2019-05-02,2650.82170562133,789,7.93136842105263,8981.20817280183,2019-07-01
2019,"WIH1",43.057,-89.531,"a",2019-05-12,2019-07-22,2019-10-26,11657.2140908269,722,7.82836363636364,8847.70987446184,2019-07-30
2019,"WIH2",43.319,-89.389,"a",2019-06-03,2019-08-07,2019-11-21,7904.42546740858,722,7.82836363636364,9391.36213301043,2019-08-05
