year,location,lat,lon,saverest,muname,compname,hz_dept,hz_depb,sieveno4_r,sieveno10_r,sieveno40_r,sieveno200_r,sandtotal_r,sandvc_r,sandco_r,sandmed_r,sandfine_r,sandvf_r,silttotal_r,siltco_r,siltfine_r,claytotal_r,om_r,partdensity,ksat_r,awc_r,wtenthbar_r,wthirdbar_r,wfifteenbar_r,wsatiated_r,kwfact,caco3_r,gypsum_r,sar_r,ec_r,cec7_r,ecec_r,ph01mcacl2_r,ptotal_r,sumbases_r,freeiron_r,extracid_r,extral_r,pbray1_r
2018,ARH2,35.67486, -90.07661,6/9/2020 1:04:19 PM,Steele loamy sand,Steele - Aquents - Crevasse,90,120,33.3333333333333,33.3333333333333,32.5,30,8.7,0.566666666666667,0.733333333333333,1.66666666666667,3.13333333333333,2.6,9.63333333333333,0,0,15,0.0833333333333333,NA,0.333333333333333,0.0433333333333333,NA,11.3,9.4,13,0.08,0,0,0,0,7,NA,NA,NA,5,NA,NA,NA,NA
2018,ARH2,35.67486, -90.07661,6/9/2020 1:04:19 PM,Steele loamy sand,Steele - Aquents - Crevasse,120,150,33.3333333333333,33.3333333333333,32.5,30,8.7,0.566666666666667,0.733333333333333,1.66666666666667,3.13333333333333,2.6,9.63333333333333,0,0,15,0.0833333333333333,NA,0.333333333333333,0.0433333333333333,NA,11.3,9.4,13,0.08,0,0,0,0,7,NA,NA,NA,5,NA,NA,NA,NA
2018,ARH2,35.67486, -90.07661,6/9/2020 1:04:19 PM,Steele loamy sand,Steele - Aquents - Crevasse,150,180,33.3333333333333,33.3333333333333,32.5,30,8.7,0.566666666666667,0.733333333333333,1.66666666666667,3.13333333333333,2.6,9.63333333333333,0,0,15,0.0833333333333333,NA,0.333333333333333,0.0433333333333333,NA,11.3,9.4,13,0.08,0,0,0,0,7,NA,NA,NA,5,NA,NA,NA,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,0,15,100,99,74.4,25.8,79.4,1.4,9.6,37.4,23.4,7.6,14.8,7.6,7.2,5.8,1.4,NA,79.2,0.104,16.44,14.68,5.08,39,0.118,0,0,0,0,5.52,4.3,4.32,NA,1.12,0.3,4.7,0.34,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,15,30,99.6666666666667,98.8333333333333,74.6933333333333,25.64,78.3066666666667,1.17333333333333,10.8933333333333,36.96,23.64,5.64,15.8,8.06666666666667,7.73333333333333,5.89333333333333,1.07933333333333,NA,73.2266666666667,0.103333333333333,14.32,13.12,5.01466666666667,38.9333333333333,0.1352,0,0,0,0,5.272,4.04533333333333,4.41733333333333,NA,1.06933333333333,0.334666666666667,4.88133333333333,0.398666666666667,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,30,60,99,98.5,75.16,27.4733333333333,72.9733333333333,1.2,11.9,35.1666666666667,21.1266666666667,3.58,17.7266666666667,6.27333333333333,11.4533333333333,9.3,0.341333333333333,NA,53.6,0.11,6.55,12.0406666666667,5.476,36.2,0.1626,0,0,0,0,3.57133333333333,2.85266666666667,4.54933333333333,NA,0.727333333333333,0.488,3.75933333333333,0.838666666666667,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,60,90,99,97.5666666666667,73.44,26.9333333333333,77.4666666666667,1.37333333333333,12.5866666666667,37.4,22.3466666666667,3.76,14.0533333333333,6.52,7.53333333333333,8.48,0.285466666666667,NA,90.4666666666667,0.103066666666667,8.17866666666667,9.564,5.57066666666667,34.7733333333333,0.1184,0,0,0,0,2.94933333333333,2.33066666666667,4.57333333333333,NA,0.602666666666667,0.422666666666667,3.272,0.689333333333333,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,90,120,99,96.5,73.1666666666667,23.4066666666667,82.2066666666667,1.62666666666667,13.9533333333333,40.0133333333333,22,4.61333333333333,11.3,5.77333333333333,5.52666666666667,6.49333333333333,0.183333333333333,NA,147.106666666667,0.0778666666666667,14.1606666666667,8.78133333333333,4.908,33.92,0.0966666666666667,0,0,0,0,2.16666666666667,1.94,4.6,NA,0.449333333333333,0.278,2.20666666666667,0.430666666666667,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,120,150,99,96.5,74.7533333333333,24.8533333333333,80.6733333333333,1.75333333333333,13.8066666666667,38.4533333333333,21.7666666666667,4.89333333333333,12.2266666666667,6.07333333333333,6.15333333333333,7.1,0.1726,NA,154.032666666667,0.0774666666666667,16.7433333333333,9.02,5.052,34,0.105,0,0,0,0,2.148,1.724,4.60933333333333,NA,0.444666666666667,0.249333333333333,2.07533333333333,0.375333333333333,NA
2018,DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,150,180,99,95.5,80.8666666666667,39.8533333333333,60.54,1.46,9.74666666666667,27.4933333333333,16.9666666666667,4.87333333333333,27.32,13.7333333333333,13.5866666666667,12.14,0.168,NA,175.313333333333,0.118266666666667,10.1,13.1126666666667,7.08133333333333,33.2733333333333,0.227066666666667,0,0,0,0,2.67533333333333,2.78866666666667,4.48333333333333,NA,0.54,0.270666666666667,1.89266666666667,0.509333333333333,NA
