location,lat,lon,saverest,muname,compname,hz_dept,hz_depb,sieveno4_r,sieveno10_r,sieveno40_r,sieveno200_r,sandtotal_r,sandvc_r,sandco_r,sandmed_r,sandfine_r,sandvf_r,silttotal_r,siltco_r,siltfine_r,claytotal_r,om_r,partdensity,ksat_r,awc_r,wtenthbar_r,wthirdbar_r,wfifteenbar_r,wsatiated_r,kwfact,caco3_r,gypsum_r,sar_r,ec_r,cec7_r,ecec_r,ph01mcacl2_r,ptotal_r,sumbases_r,freeiron_r,extracid_r,extral_r,pbray1_r
ARH2,35.67486, -90.07661,6/9/2020 1:04:19 PM,Steele loamy sand,Steele - Aquents - Crevasse,80,100,33.3333333333333,33.3333333333333,32.5,30,8.7,0.566666666666667,0.733333333333333,1.66666666666667,3.13333333333333,2.6,9.63333333333333,0,0,15,0.0833333333333333,NA,0.333333333333333,0.0433333333333333,NA,11.3,9.4,13,0.08,0,0,0,0,7,NA,NA,NA,5,NA,NA,NA,NA
ARH2,35.67486, -90.07661,6/9/2020 1:04:19 PM,Steele loamy sand,Steele - Aquents - Crevasse,100,200,27.6666666666667,27.6666666666667,26.975,24.9,7.221,0.470333333333333,0.608666666666667,1.38333333333333,2.60066666666667,2.158,7.99566666666667,0,0,12.45,0.0691666666666667,NA,0.276666666666667,0.0359666666666667,NA,9.379,7.802,10.79,0.0664,0,0,0,0,5.81,NA,NA,NA,4.15,NA,NA,NA,NA
DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,0,10,100,99,74.4,25.8,79.4,1.4,9.6,37.4,23.4,7.6,14.8,7.6,7.2,5.8,1.4,NA,79.2,0.104,16.44,14.68,5.08,39,0.118,0,0,0,0,5.52,4.3,4.32,NA,1.12,0.3,4.7,0.34,NA
DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,10,25,100,99,74.4,25.52,79.36,1.28,10.2,37.36,23.88,6.64,14.9866666666667,7.78666666666667,7.2,5.65333333333333,1.37533333333333,NA,79.2,0.101733333333333,16.472,14.0293333333333,5.09733333333333,39.3066666666667,0.118,0,0,0,0,5.64266666666667,4.36666666666667,4.33066666666667,NA,1.14266666666667,0.309333333333333,4.924,0.34,NA
DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,25,50,99,98.5,75.328,27.168,73.84,1.176,11.824,35.496,21.488,3.856,17.544,6.752,10.792,8.616,0.372,NA,55.136,0.10976,7.3408,12.1512,5.3184,36.904,0.16784,0,0,0,0,3.7792,3.0224,4.5512,NA,0.7704,0.4608,3.924,0.7656,NA
DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,50,80,99,98.2333333333333,74.16,27.7,74.8666666666667,1.30666666666667,12.2066666666667,35.78,22.0133333333333,3.56,15.8466666666667,6.42666666666667,9.42,9.28666666666667,0.323333333333333,NA,64.1333333333333,0.108933333333333,7.08866666666667,10.64,5.732,35.1733333333333,0.135533333333333,0,0,0,0,3.27666666666667,2.49533333333333,4.56266666666667,NA,0.667333333333333,0.481333333333333,3.65666666666667,0.814666666666667,NA
DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,80,100,99,96.5,72.67,25.09,80.53,1.43,13.25,39.73,22,4.12,12.53,6.43,6.1,6.94,0.2192,NA,134.52,0.0894,10.166,8.705,5.067,34.01,0.1028,0,0,0,0,2.374,2.178,4.596,NA,0.49,0.312,2.44,0.472,NA
DEH1,38.64924, -75.45021,6/11/2020 2:35:52 PM,Hammonton loamy sand. 0 to 2 percent slopes,Hammonton - Rosedale - Hurlock - Ingleside - Klej,100,200,99,95.9,77.886,32.824,69.464,1.506,11.394,32.854,19.06,4.65,20.204,10.152,10.052,10.332,0.17058,NA,163.7078,0.10184,12.352,11.6264,6.5094,33.564,0.16782,0,0,0,0,2.571,2.4498,4.5158,NA,0.5234,0.2574,1.7924,0.5486,NA
GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,0,10,100,85,69,19,84.1,2.5,9.6,25.6,34.2,12.2,9.4,4.8,4.6,6.5,0.75,2.64,91.5,0.11,18.9,14,5.3,33,0.1,0,0,0,1,2.1,NA,NA,NA,2,NA,0.9,NA,NA
GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,10,25,100,85,69,19,84.1,2.5,9.6,25.6,34.2,12.2,9.4,4.8,4.6,6.5,0.75,2.64,91.5,0.11,18.9,14,5.3,33,0.1,0,0,0,1,2.1,NA,NA,NA,2,NA,0.9,NA,NA
GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,25,50,100,82.36,69.88,27.8,72.132,2.5,7.488,20.232,30.064,11.848,9.928,4.624,5.304,17.94,0.53,2.64,35.62,0.1628,2.268,19.896,12.076,33,0.188,0,0,0,1,0.252,1.848,NA,NA,0.944,NA,3.54,NA,NA
GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,50,80,100,82.8,70,33.8,64.9,2.74,8,18.3,25.66,10.2,9.6,4.68,4.92,25.5,0.3,2.648,12.8,0.162,NA,22.62,15.8,33,0.2,0,0,0,1,3.28,0.42,NA,NA,2.16,NA,2.78,NA,NA
GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,80,100,100,83,70,35,63.5,2.8,8.2,18,24.7,9.8,9.5,4.7,4.8,27,0.25,2.65,9,0.16,NA,23.1,16.5,33,0.2,0,0,0,1,4.1,NA,NA,NA,2.5,NA,2.5,NA,NA
GAH1,31.50520, -83.55517,6/8/2020 5:08:01 PM,Tifton loamy sand. 2 to 5 percent slopes,Tifton,100,200,100,95.24,79.68,41.86,62.103,2.942,8.878,18.294,21.6,10.389,7.98,4.064,3.916,29.917,0.113,2.65,2.1995,0.1159,NA,26.26,19.277,36.39,0.1925,0,0,0,1,0.082,2.562,NA,NA,1.222,NA,5.545,NA,NA
GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,0,10,100,98,76,40,65,4.3,13.9,17.2,19.3,10.3,20,0,0,15,0.25,NA,28,0.14,NA,19.4,10.5,39,0.24,0,0,0,0,NA,3.4,NA,NA,2.4,NA,4.7,NA,NA
GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,10,25,98.1333333333333,97.0666666666667,79.7333333333333,44.2,60.7066666666667,3.22666666666667,11.24,18.9733333333333,17.8066666666667,9.46,18.9266666666667,0,0,20.3666666666667,0.25,NA,19.1333333333333,0.144666666666667,NA,21.4066666666667,12.88,41.3333333333333,0.221333333333333,0,0,0,0,4.34,1.81333333333333,NA,NA,3.14666666666667,NA,6.24,NA,NA
GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,25,50,96,96,84,49,55.8,2,8.2,21,16.1,8.5,17.7,0,0,26.5,0.25,NA,9,0.15,NA,23.7,15.6,44,0.2,0,0,0,0,9.3,NA,NA,NA,4,NA,8,NA,NA
GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,50,80,96,96,84,49,55.8,2,8.2,21,16.1,8.5,17.7,0,0,26.5,0.25,NA,9,0.15,NA,23.7,15.6,44,0.2,0,0,0,0,9.3,NA,NA,NA,4,NA,8,NA,NA
GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,80,100,96,96,84,49,55.8,2,8.2,21,16.1,8.5,17.7,0,0,26.5,0.25,NA,9,0.15,NA,23.7,15.6,44,0.2,0,0,0,0,9.3,NA,NA,NA,4,NA,8,NA,NA
GAH2,33.71478, -83.30889,6/9/2020 4:53:54 PM,Wickham sandy loam. 2 to 6 percent slopes. rarely flooded,Wickham,100,200,41.92,39.42,31.18,16.48,33.766,2.19,6.764,8.62,10.222,5.97,11.954,0,0,6.28,0.13,NA,4.68,0.073,NA,7.774,3.512,18.38,0.104,0,0,0,0,0.186,1.1,NA,NA,0.63,NA,1.66,NA,NA
