year2014 year2015 year2016 year2017 year2018 year2019
-0.3222437 -0.5196348 -0.5827199 0.06195387 -0.09237744 -0.1852421
-0.3293432 -0.5003573 -0.6209205 0.04666166 -0.08328678 -0.1656197
-0.3041866 -0.4916749 -0.6062201 0.02645999 -0.05916645 -0.176429
-0.3092989 -0.479144 -0.5888246 0.00273597 -0.1139193 -0.1606039
-0.2847814 -0.5024984 -0.5767249 -0.0142075 -0.1112252 -0.1473653
-0.2483586 -0.5020827 -0.5882623 0.01567789 -0.08960991 -0.1437521
-0.28742 -0.5024312 -0.584579 -0.006373114 -0.1032327 -0.1473028
-0.2722382 -0.5495177 -0.5540029 0.001668736 -0.07490952 -0.1613066
-0.2968862 -0.5542957 -0.5495995 -0.01051083 -0.07038334 -0.1648635
-0.2792154 -0.5442346 -0.5327194 -0.001406959 -0.06615761 -0.1494411
-0.2342435 -0.5438344 -0.5684472 -0.0535331 -0.0574303 -0.1392938
-0.1870246 -0.577891 -0.5553336 -0.04840518 -0.008913247 -0.1289842
-0.2386177 -0.6539021 -0.5441295 -0.03884019 -0.05019331 -0.1679983
-0.2561266 -0.6508211 -0.533288 -0.002913811 -0.01890257 -0.1600085
-0.2237882 -0.6634992 -0.5458464 -0.006342037 0.0008951547 -0.1466423
-0.1871966 -0.6228829 -0.5465911 -0.04403465 -0.001644043 -0.119004
-0.1740572 -0.6173011 -0.5305967 -0.08181387 -0.01721494 -0.1144056
-0.2033705 -0.5920255 -0.5527863 -0.09407053 -0.0654728 -0.12121
-0.1551595 -0.5652498 -0.5090794 -0.05471456 -0.05318923 -0.1132325
-0.168586 -0.6091643 -0.5562823 -0.09396615 -0.04893906 -0.1045292
-0.214211 -0.5832126 -0.5794259 -0.1055997 -0.09322176 -0.1113193
-0.1671771 -0.5793218 -0.5539032 -0.1128707 -0.1221104 -0.1192638
-0.1788126 -0.6003446 -0.5601251 -0.1289547 -0.1299345 -0.131946
-0.2212351 -0.5912372 -0.5905184 -0.1204984 -0.1664951 -0.1259775
-0.2320115 -0.6056513 -0.5913685 -0.115076 -0.1507364 -0.1381077
-0.2231339 -0.6122998 -0.5540324 -0.09099162 -0.1315712 -0.1279797
-0.1927455 -0.5850351 -0.5273309 -0.07419671 -0.136594 -0.1377553
-0.1877724 -0.6624135 -0.549145 -0.1000374 -0.1174701 -0.1740464
-0.1390397 -0.6237086 -0.5583605 -0.07230975 -0.0773339 -0.1383729
-0.1276943 -0.6480466 -0.5587207 -0.06588078 -0.1106845 -0.1452155
-0.1163279 -0.6307929 -0.5623289 -0.08594512 -0.1374918 -0.1119465
-0.1708031 -0.6368325 -0.5844423 -0.08004045 -0.1580579 -0.08548163
-0.1887454 -0.5970982 -0.5804165 -0.1019674 -0.1592781 -0.06458399
-0.1622621 -0.6088805 -0.6065295 -0.1413387 -0.1604803 -0.06387425
-0.1954179 -0.5845348 -0.6133365 -0.1309661 -0.1464295 -0.07778417
-0.2090246 -0.6405703 -0.665959 -0.1211036 -0.117479 -0.09973832
-0.2071919 -0.6651859 -0.7019341 -0.1087468 -0.1204336 -0.1154008
-0.1840521 -0.6348466 -0.6836798 -0.08857614 -0.1180533 -0.07955129
-0.2245156 -0.6708782 -0.6734173 -0.08930944 -0.1584092 -0.1112733
-0.2119827 -0.6862333 -0.6807461 -0.0845557 -0.1499676 -0.1396923
-0.191692 -0.7195303 -0.6963571 -0.08534091 -0.1682042 -0.1259697
-0.2131606 -0.7317719 -0.7141486 -0.0755054 -0.1606251 -0.1094212
-0.2088399 -0.7419591 -0.7151222 -0.0742717 -0.1863508 -0.1171114
-0.2066607 -0.7697322 -0.704952 -0.1180286 -0.1834346 -0.1576368
-0.242564 -0.7818015 -0.7289267 -0.1443835 -0.1841631 -0.1662306
-0.2095063 -0.7728906 -0.7184895 -0.1358751 -0.1569349 -0.1466619
-0.2367601 -0.7441466 -0.7378972 -0.1495585 -0.1667201 -0.1437152
-0.2314588 -0.7018467 -0.7486105 -0.1429617 -0.1614088 -0.1697839
-0.2107025 -0.6774429 -0.7526248 -0.1216115 -0.1691276 -0.1897389
-0.238383 -0.7112988 -0.7919059 -0.1809078 -0.1871101 -0.2094986
-0.27205 -0.6448596 -0.8024426 -0.1592543 -0.2115578 -0.2049429
-0.2840842 -0.6714002 -0.796497 -0.1056991 -0.2169283 -0.1946907
-0.2506396 -0.6597181 -0.7851764 -0.1038148 -0.2008298 -0.1505956
-0.2536819 -0.6469985 -0.8051333 -0.1211147 -0.2075068 -0.1293704
-0.267631 -0.5655568 -0.8148381 -0.1268567 -0.234042 -0.1478373
-0.277594 -0.5800442 -0.7904249 -0.1183413 -0.225885 -0.1610816
-0.31453 -0.5400656 -0.7979248 -0.1238061 -0.2069319 -0.1388305
-0.3251175 -0.5664466 -0.8333062 -0.1182614 -0.2305847 -0.1519802
-0.3542727 -0.5679143 -0.8304899 -0.09863336 -0.2166368 -0.1301674
-0.3060483 -0.5798534 -0.8135932 -0.04474903 -0.1967094 -0.07804785
-0.3403273 -0.6191884 -0.7895838 -0.03075759 -0.199567 -0.1141467
-0.3556315 -0.6603535 -0.7974927 -0.02812082 -0.1760262 -0.1336012
-0.3643789 -0.6890457 -0.7535533 -0.01360867 -0.1302743 -0.1230109
-0.4002006 -0.6878507 -0.7367517 0.01264666 -0.1175995 -0.1542895
-0.4012056 -0.6613463 -0.7524519 -0.03737672 -0.1070426 -0.1403477
-0.4134753 -0.6441101 -0.738351 -0.05114418 -0.1218528 -0.1433878
-0.4026123 -0.6477383 -0.7271257 -0.02708353 -0.101964 -0.1352343
-0.4083268 -0.6309186 -0.7091566 -0.02393129 -0.1007857 -0.1321446
-0.408623 -0.5931102 -0.6994339 0.02070389 -0.05331829 -0.09352236
-0.3706432 -0.5856852 -0.7203871 0.03404737 -0.1069855 -0.0680677
-0.3885726 -0.617965 -0.7141066 0.05314626 -0.1422729 -0.06337151
-0.4602198 -0.6287165 -0.7060796 0.06050145 -0.1709147 -0.05768731
-0.4766337 -0.6165713 -0.7327011 0.04312143 -0.1631549 -0.04919021
-0.4746256 -0.6030872 -0.7307474 0.03637739 -0.1648538 -0.05985824
-0.4710305 -0.6015148 -0.7113656 0.06288957 -0.1143958 -0.07878099
-0.4836166 -0.5881656 -0.7101416 0.05137113 -0.1290785 -0.06674413
-0.4452565 -0.6016637 -0.7229475 0.01186946 -0.1019292 -0.06012475
-0.4324429 -0.5663693 -0.7294987 0.05870242 -0.1324311 -0.06694256
-0.5004032 -0.5618114 -0.7447123 0.04027646 -0.1350585 -0.08718582
-0.4716221 -0.6242371 -0.7245111 0.03938341 -0.1133358 -0.08849661
-0.4573762 -0.6380358 -0.7285077 -0.005788477 -0.08458546 -0.1019711
-0.4427594 -0.6682141 -0.719609 0.01598022 -0.05287418 -0.1079802
-0.4817587 -0.6827902 -0.7029971 0.03409004 -0.05554462 -0.1265912
-0.4945007 -0.6862494 -0.7431452 0.01477017 -0.06716631 -0.1301305
-0.508673 -0.6904232 -0.7417522 -0.01054408 -0.06057539 -0.1448206
-0.5570063 -0.6891912 -0.7699053 -0.04650405 -0.1001952 -0.1614172
-0.5356045 -0.6452899 -0.7579268 -0.0629723 -0.09597299 -0.191341
-0.5895422 -0.6348407 -0.7433675 -0.06293497 -0.08960808 -0.2100201
-0.6119719 -0.6374294 -0.7608392 -0.0580901 -0.07134451 -0.1759776
-0.5635084 -0.6446255 -0.7246513 -0.05284225 -0.06470633 -0.1568568
-0.5159459 -0.6342756 -0.7176583 -0.06675801 -0.06916332 -0.1511097
-0.540287 -0.6745325 -0.7018917 -0.06438906 -0.05639743 -0.162765
-0.5430592 -0.6543698 -0.6766855 -0.05049039 -0.05049666 -0.1544258
-0.5160867 -0.6695595 -0.6187626 -0.02623073 -0.06279504 -0.1129942
-0.4863246 -0.7060826 -0.594124 -0.04947762 -0.07264925 -0.09740039
-0.4505737 -0.680737 -0.589854 -0.05852661 -0.08185069 -0.06914195
-0.4979195 -0.6714289 -0.6146119 -0.03483176 -0.09800688 -0.06800016
-0.480503 -0.6326211 -0.6104376 -0.03845691 -0.09052763 -0.04639237
-0.5116067 -0.6367071 -0.6440412 -0.01303863 -0.07281707 -0.01687676
-0.5156312 -0.6494939 -0.6549526 0.005756948 -0.05634544 -0.009789241
-0.4980327 -0.6502101 -0.6459327 0.004891763 -0.02827911 -0.007930948
-0.5418315 -0.689767 -0.6347993 0.01419319 -0.03240267 0.003669948
-0.5893902 -0.7372301 -0.632344 0.0499672 -0.04124418 -0.0329759
-0.5634298 -0.7321161 -0.65604 0.01556369 -0.06787454 -0.01643635
-0.4953942 -0.6952777 -0.69167 0.01218566 -0.04569441 -0.003054806
-0.4786146 -0.7420704 -0.6991027 -0.02268026 -0.04522809 -0.006804231
-0.4710844 -0.781515 -0.6470527 0.01349573 -0.03617127 -0.02759114
-0.4393438 -0.7557723 -0.6856013 0.03130055 -0.02772611 -0.01305657
-0.4670586 -0.7690887 -0.6309838 0.03134157 0.004804211 -0.01130871
-0.4469657 -0.8098226 -0.5972286 0.02517844 0.01438478 -0.02565754
-0.483887 -0.8100793 -0.6116387 0.01301954 -0.01100591 -0.01083878
-0.4892649 -0.7936804 -0.5775531 0.02435402 0.009161644 0.001778155
-0.5101886 -0.8444364 -0.6021488 -0.005131161 0.0171318 0.02000231
